Respondent,Country,AgeGroup,EducationLevel
24142,Switzerland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24144,Israel,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24155,Germany,25-34 years old,Some college/university study without earning a degree
24158,Portugal,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24160,Germany,25-34 years old,Some college/university study without earning a degree
24162,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24165,Poland,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24169,United Kingdom of Great Britain and Northern Ireland,18-24 years old,Some college/university study without earning a degree
24174,Turkey,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24175,Germany,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24178,Cyprus,35-44 years old,Primary/elementary school
24179,"Iran, Islamic Republic of...",25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24188,United States of America,45-54 years old,Some college/university study without earning a degree
24192,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24194,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24196,Norway,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24203,Brazil,25-34 years old,Some college/university study without earning a degree
24205,Portugal,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24206,United States of America,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24209,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24210,United States of America,18-24 years old,Some college/university study without earning a degree
24213,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24216,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24219,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24220,Argentina,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24221,Chile,25-34 years old,Some college/university study without earning a degree
24227,Germany,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24233,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24236,Portugal,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24237,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24238,Czech Republic,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24239,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24245,United States of America,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24247,South Africa,18-24 years old,"Associate degree (A.A., A.S., etc.)"
24248,Nigeria,35-44 years old,Some college/university study without earning a degree
24249,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24259,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24263,Norway,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24268,Sweden,18-24 years old,Some college/university study without earning a degree
24271,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24274,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24275,South Africa,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24276,Slovakia,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24279,Latvia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24282,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24286,Israel,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24288,Germany,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24292,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24293,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24299,Poland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24300,Isle of Man,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24301,Norway,35-44 years old,Primary/elementary school
24305,Belgium,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24307,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24308,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24314,Canada,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24320,Serbia,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24324,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24330,Australia,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24334,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24335,Zimbabwe,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24336,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24339,Spain,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24341,Netherlands,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24342,Italy,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24343,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24344,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24347,Germany,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24350,Argentina,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24353,Pakistan,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24360,Portugal,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24362,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24370,Serbia,25-34 years old,Some college/university study without earning a degree
24372,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24376,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24377,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24378,Ukraine,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24379,Bangladesh,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24382,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24383,United Kingdom of Great Britain and Northern Ireland,25-34 years old,Some college/university study without earning a degree
24391,"Iran, Islamic Republic of...",25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24396,Kenya,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24398,France,25-34 years old,Some college/university study without earning a degree
24399,Germany,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24400,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24402,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24409,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24413,Germany,55-64 years old,Some college/university study without earning a degree
24416,Brazil,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24419,Russian Federation,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24425,Italy,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24430,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24433,Mexico,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24437,Portugal,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24439,Brazil,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24442,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24443,Czech Republic,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24446,Poland,Under 18 years old,Primary/elementary school
24454,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24461,Brazil,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24462,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24465,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24466,Spain,35-44 years old,Some college/university study without earning a degree
24468,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24470,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24476,Tunisia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24479,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24481,Switzerland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24492,Bangladesh,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24502,Ukraine,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24504,China,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24512,Romania,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24517,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24520,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24525,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24527,Denmark,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24528,United States of America,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24534,Colombia,25-34 years old,Some college/university study without earning a degree
24538,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24541,Hungary,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24543,Ethiopia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24545,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Associate degree (A.A., A.S., etc.)"
24546,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24553,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24557,Taiwan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24559,United States of America,25-34 years old,"Associate degree (A.A., A.S., etc.)"
24563,Brazil,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24567,Bolivia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24570,United States of America,18-24 years old,Some college/university study without earning a degree
24571,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24582,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24589,Latvia,35-44 years old,"Associate degree (A.A., A.S., etc.)"
24593,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24594,Guatemala,35-44 years old,Some college/university study without earning a degree
24595,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24597,Portugal,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24606,Canada,35-44 years old,"Associate degree (A.A., A.S., etc.)"
24607,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24608,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24609,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24616,Ecuador,25-34 years old,Some college/university study without earning a degree
24618,United States of America,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24621,United States of America,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24625,Canada,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24626,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24628,Uzbekistan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24629,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24630,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24633,Netherlands,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24637,Indonesia,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24639,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24647,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24649,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24651,Brazil,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24656,Brazil,18-24 years old,Some college/university study without earning a degree
24663,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24664,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24665,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24671,United States of America,18-24 years old,Some college/university study without earning a degree
24672,Chile,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24674,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24685,India,25-34 years old,Some college/university study without earning a degree
24688,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24693,Canada,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24694,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24695,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24702,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24703,Sweden,25-34 years old,"Associate degree (A.A., A.S., etc.)"
24716,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24720,United Arab Emirates,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24723,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24724,Taiwan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24726,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24728,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24733,Ukraine,35-44 years old,Some college/university study without earning a degree
24735,United States of America,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24736,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24737,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24739,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24747,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24749,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24750,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24752,Ukraine,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24754,Kenya,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24757,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24758,Germany,35-44 years old,"Associate degree (A.A., A.S., etc.)"
24762,Poland,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24763,Austria,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24768,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24769,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24781,United States of America,35-44 years old,Some college/university study without earning a degree
24783,Brazil,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24784,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24788,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24791,Switzerland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24792,Germany,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24796,Pakistan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24797,Canada,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24798,Mexico,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24803,Ukraine,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24805,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24806,South Africa,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24808,United States of America,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24809,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24810,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24811,Sweden,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24819,Ukraine,35-44 years old,Some college/university study without earning a degree
24822,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24825,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24826,Austria,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24827,Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24828,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24830,Germany,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24831,Mexico,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24832,Spain,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24833,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24835,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24836,Ukraine,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24837,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24840,Canada,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24841,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24846,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24849,Sweden,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24850,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24851,Philippines,35-44 years old,Some college/university study without earning a degree
24857,United States of America,45-54 years old,"Associate degree (A.A., A.S., etc.)"
24860,India,25-34 years old,"Associate degree (A.A., A.S., etc.)"
24862,United States of America,25-34 years old,Some college/university study without earning a degree
24866,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24867,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24871,Turkey,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24874,Ukraine,25-34 years old,Some college/university study without earning a degree
24877,Netherlands,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24887,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24890,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24892,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24902,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24905,Madagascar,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24909,United States of America,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
24910,Poland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24914,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24920,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24922,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24927,Mexico,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24928,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24929,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24930,United States of America,45-54 years old,Some college/university study without earning a degree
24945,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24946,New Zealand,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24947,Canada,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24948,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24952,United States of America,35-44 years old,Some college/university study without earning a degree
24953,United States of America,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24954,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24957,Canada,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24958,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24960,Canada,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24963,Serbia,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24969,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24973,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24980,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24984,United States of America,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
24986,Switzerland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
24988,United Arab Emirates,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24990,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24997,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24998,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24999,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25001,Canada,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25003,Jordan,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
25005,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25006,Bolivia,25-34 years old,Some college/university study without earning a degree
25010,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25012,Poland,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25013,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25014,Ukraine,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25015,United States of America,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25020,Austria,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25025,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25033,Brazil,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25036,Brazil,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
25037,Ireland,45-54 years old,Some college/university study without earning a degree
25038,Romania,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25040,Serbia,25-34 years old,Some college/university study without earning a degree
25044,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25054,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25055,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25057,United States of America,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25066,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25073,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25087,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25088,United States of America,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
25089,Romania,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25095,United States of America,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25098,Netherlands,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25099,Ukraine,18-24 years old,"Associate degree (A.A., A.S., etc.)"
25107,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25108,Canada,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25111,United Kingdom of Great Britain and Northern Ireland,18-24 years old,Some college/university study without earning a degree
25112,Ethiopia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25114,Austria,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
25124,Bangladesh,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25129,New Zealand,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
25131,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25134,United States of America,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
25138,Canada,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25148,New Zealand,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
25151,Netherlands,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25152,United Kingdom of Great Britain and Northern Ireland,25-34 years old,Some college/university study without earning a degree
25157,Germany,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25160,Germany,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
25161,New Zealand,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25162,Canada,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
25163,Peru,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
25173,Argentina,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
25176,United States of America,35-44 years old,"Associate degree (A.A., A.S., etc.)"
25177,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
